Date,Open,High,Low,Close,Adj Close,Volume
02-01-1962,0.837449,0.837449,0.823045,0.823045,0.150685,352200
03-01-1962,0.835391,0.851852,0.835391,0.839506,0.153699,710400
04-01-1962,0.839506,0.853909,0.831276,0.831276,0.152192,911000
05-01-1962,0.831276,0.835391,0.792181,0.814815,0.149179,880400
08-01-1962,0.814815,0.829218,0.804527,0.816872,0.149555,473600
09-01-1962,0.816872,0.837449,0.8107,0.81893,0.149932,576800
10-01-1962,0.81893,0.833333,0.816872,0.81893,0.149932,352200
11-01-1962,0.820988,0.845679,0.820988,0.82716,0.151439,692400
12-01-1962,0.835391,0.855967,0.835391,0.849794,0.155583,972000
15-01-1962,0.845679,0.845679,0.829218,0.833333,0.152569,625400
16-01-1962,0.833333,0.837449,0.82716,0.82716,0.151439,376400
17-01-1962,0.82716,0.845679,0.82716,0.829218,0.151816,674000
18-01-1962,0.829218,0.841564,0.829218,0.833333,0.152569,710400
19-01-1962,0.835391,0.872428,0.835391,0.872428,0.159727,1293600
22-01-1962,0.872428,0.878601,0.860082,0.87037,0.15935,1147800
23-01-1962,0.86214,0.872428,0.860082,0.872428,0.159727,923400
24-01-1962,0.872428,0.876543,0.860082,0.876543,0.16048,1020600
25-01-1962,0.876543,0.901235,0.876543,0.897119,0.164247,2897400
26-01-1962,0.897119,0.903292,0.886831,0.893004,0.163494,1919600
29-01-1962,0.893004,0.899177,0.884774,0.897119,0.164247,941400
30-01-1962,0.897119,0.911523,0.893004,0.90535,0.165754,1749600
31-01-1962,0.907407,0.925926,0.907407,0.923868,0.169145,3383400
01-02-1962,0.923868,0.932099,0.897119,0.903292,0.165377,1968200
02-02-1962,0.903292,0.911523,0.884774,0.911523,0.166884,1105400
05-02-1962,0.909465,0.909465,0.893004,0.895062,0.165364,892800
06-02-1962,0.895062,0.897119,0.872428,0.895062,0.165364,801800
07-02-1962,0.895062,0.911523,0.888889,0.895062,0.165364,844200
08-02-1962,0.897119,0.911523,0.897119,0.897119,0.165744,656000
09-02-1962,0.899177,0.91358,0.899177,0.91358,0.168785,680400
12-02-1962,0.90535,0.90535,0.895062,0.899177,0.166124,510200
13-02-1962,0.903292,0.917695,0.903292,0.90535,0.167264,656000
14-02-1962,0.90535,0.915638,0.903292,0.911523,0.168405,540200
15-02-1962,0.91358,0.925926,0.91358,0.917695,0.169545,917000
16-02-1962,0.917695,0.921811,0.907407,0.907407,0.167645,510200
19-02-1962,0.907407,0.915638,0.899177,0.903292,0.166884,619400
20-02-1962,0.903292,0.915638,0.899177,0.899177,0.166124,479600
21-02-1962,0.899177,0.903292,0.882716,0.888889,0.164223,400800
23-02-1962,0.878601,0.878601,0.843621,0.860082,0.158901,1160000
26-02-1962,0.860082,0.874486,0.849794,0.864198,0.159661,680400
27-02-1962,0.864198,0.888889,0.858025,0.874486,0.161562,668000
28-02-1962,0.874486,0.882716,0.874486,0.882716,0.163083,303600
01-03-1962,0.882716,0.888889,0.853909,0.872428,0.161182,722600
02-03-1962,0.872428,0.880658,0.858025,0.864198,0.159661,583200
